pos,name,x,y
LB,Kenneth Wright,-2.08871942418,-3.1190497088
LB,Nathan Stupar,1.99095810465,-2.07143998873
LB,Ross Homan,4.95384092227,9.34562534899
LB,Jon Bostic,-0.423513759269,-1.02972503867
LB,Jonathan Massaquoi,-2.64399821555,-3.01766052267
LB,Caleb McSurdy,7.93235976563,3.01301068239
LB,Chase Thomas,4.41308898064,-4.91269285024
LB,Sio Moore,-10.8245453159,6.06546656632
LB,Ronnell Lewis,5.69166797622,12.9981808292
LB,Preston Brown,2.1781574114,0.0866416187665
LB,Steven Johnson,2.92852481993,-6.63351687381
LB,Tahir Whitehead,-7.66239959265,-1.89159817265
LB,Orie Lemon,5.14825518688,3.92221474085
LB,Lawrence Wilson,4.22001109119,1.10451152697
LB,Audie Cole,2.370602065,-7.72458237865
LB,Alec Ogletree,-4.50390155659,-3.0721302742
LB,Lamin Barrow,-5.99160960399,-1.00391524434
LB,Colin McCarthy,-2.83881044461,0.213873979074
LB,DeVonte Holloman,4.04352156343,-7.83618220968
LB,Chris Carter,1.98495366432,4.31151782693
LB,Dontay Moch,-13.235479712,-1.66184068168
LB,Lavonte David,-2.8329823571,-3.77803195249
LB,Sandon Herzlich,5.14636405929,6.11753235279
LB,Michael Mohamed,2.54638408717,-1.97239057107
LB,Justin Houston,-8.41515197569,7.02191265872
LB,Bruce Miller,4.76578985908,11.9722811375
LB,Martez Wilson,-7.29640242773,0.0360620117828
LB,James Morris,0.69706403779,-4.82463307312
LB,Terrell Manning,3.29306098474,-0.917850543535
LB,Greg Jones,0.880291109329,-2.06949581238
LB,Ty Powell,-5.81308585145,5.14721488064
LB,Tank Carder,-3.94952068205,-3.9687672898
LB,James-Michael Johnson,-7.66343137356,0.101017030803
LB,Darryl Smith,13.1376250842,-2.730842398
LB,Tom Wort,6.45303642624,-1.90035402574
LB,John Lotulelei,-0.609405226972,2.19588392261
LB,Shea McClellin,-0.0483910390287,-4.09081496974
LB,Kyle Wilber,0.133046506065,2.05729996683
CB,Tyrann Mathieu,-3.15465921447,11.1980673749
CB,Jeremy Jones,-6.48948072097,-4.49672209973
CB,Nickell Robey,6.76534611768,4.14057761665
CB,Curtis Brown,8.31237178172,3.94864440673
CB,Jalil Brown,-5.70370774565,-8.67266197717
CB,B.W. Webb,11.9962987408,-0.445435117091
CB,Nevin Lawson,-1.83720461362,-0.957981024431
CB,Will Davis,5.55564273639,-1.73026766722
CB,Chaz Powell,-0.988101947779,-2.04859306998
CB,Antone Exum,-5.13714995556,-1.68610473382
CB,Bennett Jackson,6.607824337,1.13165597253
CB,Phillip Gaines,1.62142724912,3.65186114621
CB,Lavelle Westbrooks,0.110172399573,-0.203907113755
CB,Victor Hampton,-5.89239286545,-4.59490860203
